gene/TE	cytoplasmic_dmso_3hrs_1	cytoplasmic_dmso_3hrs_2	cytoplasmic_dmso_3hrs_3	cytoplasmic_kpt185_3hrs_1	cytoplasmic_kpt185_3hrs_2	cytoplasmic_kpt185_3hrs_3	nuclear_dmso_3hrs_1	nuclear_dmso_3hrs_2	nuclear_dmso_3hrs_3	nuclear_kpt185_3hrs_1	nuclear_kpt185_3hrs_2	nuclear_kpt185_3hrs_3
"ENSG00000006283.18"	56	35	49	42	58	39	49	18	29	36	45	24
"ENSG00000006327.14"	136	74	111	50	83	72	56	45	81	44	71	42
"ENSG00000006377.11"	240	171	250	235	394	283	59	60	80	125	224	113
"ENSG00000006432.16"	551	309	486	276	477	305	224	200	270	207	288	154
"ENSG00000006451.8"	1119	697	998	824	1326	898	188	179	244	223	315	212
"ENSG00000006453.14"	1705	1109	1489	1075	1744	1179	389	394	453	473	741	419
"ENSG00000006459.11"	1191	769	1011	815	1249	908	367	359	430	413	560	332
"ENSG00000006468.14"	450	295	443	468	675	517	95	111	97	164	229	117
"ENSG00000006530.18"	2652	1770	2272	1617	2679	1928	1233	1209	1352	1421	2119	1199
"ENSG00000006534.17"	6	12	9	13	18	14	4	3	6	11	6	3
"ENSG00000006555.11"	0	0	0	0	0	0	0	0	0	0	2	1
"ENSG00000006576.16"	1309	860	1159	1170	1689	1273	530	498	599	643	917	544
"ENSG00000006606.9"	1	2	1	1	4	2	0	0	0	0	1	0
"ENSG00000006607.14"	4343	2814	3897	2488	3746	2797	859	915	1116	1034	1563	837
"ENSG00000006611.17"	0	2	0	0	0	0	0	0	1	1	1	0
"ENSG00000006625.18"	790	466	627	559	828	559	108	121	143	134	182	111
"ENSG00000006634.8"	842	527	770	617	962	651	269	239	315	273	406	272
"ENSG00000006638.13"	57	31	53	44	84	57	16	10	10	22	38	14
"ENSG00000006652.15"	934	640	859	586	886	702	512	580	602	564	905	499
"ENSG00000006659.13"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006695.12"	777	474	735	538	846	588	222	207	267	246	384	196
"ENSG00000006704.11"	747	463	710	379	540	403	181	228	280	167	335	161
"ENSG00000006712.15"	3413	2050	2840	2538	3767	2503	540	592	813	880	1215	706
"ENSG00000006715.16"	928	599	875	700	1044	733	275	262	356	343	614	350
"ENSG00000006740.18"	538	325	453	358	573	399	193	173	226	190	271	149
"ENSG00000006744.19"	3567	2083	2940	1911	3152	2325	1220	1219	1475	1268	1835	1000
"ENSG00000006747.15"	789	508	665	560	898	645	200	282	276	292	423	235
"ENSG00000006756.16"	0	0	0	0	0	1	0	0	0	0	0	0
"ENSG00000006757.12"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006788.14"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006831.10"	2995	1943	2613	2137	3177	2227	726	770	889	941	1369	755
"ENSG00000006837.12"	51	23	44	50	75	40	22	29	28	45	68	24
"ENSG00000007001.13"	0	0	0	0	0	0	0	0	0	1	0	1
"ENSG00000007038.11"	1	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007047.16"	2085	1203	1822	1169	1862	1205	305	309	412	350	557	266
"ENSG00000007062.12"	5	2	4	8	7	1	3	2	1	5	5	0
"ENSG00000007080.11"	1626	905	1237	1063	1615	1118	167	139	217	210	337	180
"ENSG00000007129.18"	0	0	0	0	5	0	0	0	0	0	0	0
"ENSG00000007168.14"	5446	3557	4871	3308	4938	3651	1083	1084	1397	1330	1979	1104
"ENSG00000007171.18"	116	50	109	74	119	76	26	24	34	31	39	29
"ENSG00000007174.18"	0	0	0	0	0	0	0	1	0	1	0	0
"ENSG00000007202.15"	8549	5290	7173	5647	8940	6374	3014	2922	3542	3290	5033	2585
"ENSG00000007216.16"	1	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007237.19"	342	181	279	222	359	213	39	47	60	65	106	56
"ENSG00000007255.10"	185	102	162	129	209	140	26	30	34	43	81	36
"ENSG00000007264.15"	456	284	399	303	458	377	89	78	104	88	200	98
"ENSG00000007306.15"	0	2	0	0	0	0	0	0	0	0	0	0
"ENSG00000007312.13"	0	1	0	0	1	0	0	0	0	0	0	0
"ENSG00000007314.12"	0	0	0	2	2	1	1	0	0	0	0	1
"ENSG00000007341.19"	409	218	337	304	451	271	388	359	426	452	607	313
"ENSG00000007350.17"	3	3	4	2	8	5	1	1	1	2	0	1
"ENSG00000007372.25"	657	417	567	423	731	484	428	465	513	505	821	418
"ENSG00000007376.8"	1292	750	1081	516	881	671	243	255	309	230	358	207
"ENSG00000007384.15"	183	95	163	105	157	107	104	136	120	142	160	79
"ENSG00000007392.17"	844	481	734	603	860	589	626	715	809	724	1168	636
"ENSG00000007402.12"	157	121	160	141	247	128	103	115	140	139	173	105
"ENSG00000007516.14"	58	28	43	31	53	44	33	23	33	44	66	27
"ENSG00000007520.4"	992	641	790	593	961	685	110	126	156	172	239	156
"ENSG00000007541.17"	987	606	846	594	1053	703	425	421	489	462	658	362
"ENSG00000007545.16"	1490	831	1248	591	897	616	469	419	585	378	619	322
"ENSG00000007866.22"	365	253	369	221	380	220	91	93	142	130	189	85
"ENSG00000007908.16"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007923.17"	3060	1794	2450	1840	2784	1951	729	773	1035	902	1410	675
"ENSG00000007933.13"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007944.15"	499	354	499	372	606	396	298	299	363	365	522	299
"ENSG00000007952.18"	0	0	0	0	0	0	0	0	1	0	0	0
"ENSG00000007968.7"	1467	934	1264	1088	1640	1138	329	346	441	471	823	363
"ENSG00000008018.9"	1876	1164	1607	1326	2091	1502	349	317	393	493	764	420
"ENSG00000008056.14"	4	0	3	4	3	5	0	1	0	0	3	1
"ENSG00000008083.14"	1446	952	1291	1205	1898	1304	657	667	825	926	1401	756
"ENSG00000008086.13"	474	294	405	399	600	391	155	181	192	196	308	158
"ENSG00000008118.10"	6	2	8	11	12	14	0	3	1	2	5	2
"ENSG00000008128.23"	120	70	91	66	98	59	71	93	98	81	201	84
"ENSG00000008130.15"	2775	1698	2508	1568	2533	1818	673	679	715	724	1070	562
"ENSG00000008196.13"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000008197.5"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000008226.20"	1	0	0	0	4	1	4	1	3	6	5	6
"ENSG00000008256.16"	511	286	461	298	478	376	141	161	173	160	258	128
"ENSG00000008277.15"	482	340	462	359	606	446	492	480	539	595	874	468
"ENSG00000008282.9"	1005	759	972	783	1244	911	665	677	737	927	1139	667
"ENSG00000008283.16"	51	27	29	30	50	30	7	14	12	11	21	13
"ENSG00000008294.22"	5103	3277	4446	3512	5149	3701	1359	1489	1739	1961	2707	1533
"ENSG00000008300.17"	153	77	106	93	121	96	109	74	140	126	228	73
"ENSG00000008311.16"	1265	788	1107	1029	1667	1145	1671	1717	1941	2094	3104	1700
"ENSG00000008323.16"	2	1	0	2	5	3	0	0	0	0	0	0
"ENSG00000008324.12"	231	117	204	122	185	157	49	59	62	82	126	59
"ENSG00000008382.16"	365	227	297	232	370	239	60	71	89	77	113	69
"ENSG00000008394.13"	718	526	686	538	820	597	375	399	411	471	668	375
"ENSG00000008405.12"	705	502	631	405	610	435	226	236	279	156	246	144
"ENSG00000008438.5"	2	1	0	0	0	0	0	0	0	0	0	0
"ENSG00000008441.19"	2317	1347	1955	1365	2243	1514	277	230	397	351	494	247
"ENSG00000008513.16"	609	360	489	481	674	456	193	197	270	260	422	194
"ENSG00000008516.18"	114	69	81	76	91	57	46	36	45	33	78	44
"ENSG00000008517.19"	49	32	42	29	51	36	13	3	6	10	10	12
"ENSG00000008710.20"	1642	958	1326	985	1681	1220	1072	1007	1236	1297	2092	951
"ENSG00000008735.14"	2095	1316	1656	1261	1975	1300	592	582	734	689	951	532
"ENSG00000008838.21"	4005	2370	3377	2641	4078	2859	810	811	954	1097	1718	819
"ENSG00000008853.18"	303	191	255	219	290	179	98	70	110	98	137	73
"ENSG00000008869.12"	1002	577	839	645	976	656	500	448	568	570	826	502
"ENSG00000008952.17"	1613	1066	1490	1220	1827	1337	703	661	880	969	1261	794
"ENSG00000008988.11"	4028	2687	3546	3249	4577	3452	450	480	702	742	1100	678
"ENSG00000009307.17"	19656	12598	17223	15471	21655	16121	3128	3123	4234	4563	6636	3675
"ENSG00000009335.18"	7435	4830	6791	4905	7688	5563	1939	2032	2360	2228	3376	1729
"ENSG00000009413.16"	2649	1648	2285	1626	2574	1754	1506	1598	1829	1656	2449	1354
"ENSG00000009694.13"	1414	891	1216	1048	1593	1132	1187	1168	1253	1487	2318	1177
"ENSG00000009709.12"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000009724.17"	6	5	6	4	4	3	20	20	21	9	15	3
"ENSG00000009765.15"	0	0	0	0	1	0	0	1	0	0	1	0
"ENSG00000009780.16"	409	293	378	269	403	248	104	108	132	116	155	78
"ENSG00000009790.15"	0	0	0	3	1	3	0	0	0	0	0	1
"ENSG00000009830.13"	562	383	502	386	661	422	381	397	421	398	634	310
"ENSG00000009844.16"	2081	1313	1840	1482	2334	1721	259	305	388	460	685	403
"ENSG00000009950.16"	212	124	215	133	219	161	134	133	147	158	278	181
"ENSG00000009954.11"	5346	3294	4705	3363	4911	3341	1058	1136	1593	1452	2098	1206
"ENSG00000010017.13"	2172	1427	1900	1525	2358	1725	332	361	469	521	738	383
"ENSG00000010030.14"	11	7	8	1	2	4	3	2	1	3	0	3
"ENSG00000010072.16"	1267	862	1132	642	1023	688	373	404	443	335	577	313
"ENSG00000010165.20"	1188	631	850	677	1005	719	184	230	274	262	433	228
"ENSG00000010219.14"	500	261	424	305	504	379	161	149	147	241	383	204
"ENSG00000010244.19"	5410	3485	4813	3668	5836	4155	3059	3294	3647	4121	5598	3139
"ENSG00000010256.11"	2276	1437	1927	1446	2312	1628	352	360	471	538	824	462
"ENSG00000010270.14"	839	477	736	670	1010	703	157	174	205	189	327	188
"ENSG00000010278.15"	473	341	441	382	635	421	435	426	471	522	721	444
"ENSG00000010282.15"	2	0	1	0	0	1	5	3	0	3	1	2
"ENSG00000010292.13"	8099	4998	6750	5875	9302	6429	1542	1424	1957	2479	3637	1914
"ENSG00000010295.20"	476	290	411	232	387	278	490	513	486	399	598	295
"ENSG00000010310.9"	4	2	2	2	2	7	6	4	5	7	19	6
"ENSG00000010318.22"	77	37	62	65	80	57	25	27	29	48	59	42
"ENSG00000010319.7"	20	6	15	6	23	14	12	18	12	28	25	15
"ENSG00000010322.16"	1486	933	1341	936	1576	1068	1059	1002	1216	1317	2001	1026
"ENSG00000010327.10"	3	2	3	1	2	6	1	3	10	1	7	9
"ENSG00000010361.14"	601	352	514	397	654	499	109	107	155	171	335	157
"ENSG00000010379.16"	3	1	1	2	13	8	10	10	8	15	30	15
"ENSG00000010404.18"	1431	900	1300	1101	1669	1149	186	187	218	260	459	225
"ENSG00000010438.17"	0	0	0	0	0	0	0	0	0	0	1	0
"ENSG00000010539.12"	689	443	622	448	702	520	228	222	306	305	438	254
"ENSG00000010610.10"	3	1	0	0	3	1	2	0	0	0	0	0
"ENSG00000010626.15"	93	56	77	61	98	80	19	19	43	40	37	31
"ENSG00000010671.17"	10	12	16	11	16	12	2	8	7	10	15	4
"ENSG00000010704.19"	21	7	18	14	25	20	14	12	27	24	31	22
"ENSG00000010803.16"	2061	1236	1700	1344	2062	1397	585	598	609	572	918	445
